Room Name,D1 Device,Available Ports in D1,Has SW1,Available Ports in SW1
ASB-A203,SonyXBR,3,True,2
ASB-A343,SonyXBR,1,False,0
ASB-A379,SonyXBR,1,False,0
ASB-A384,SonyXBR,2,False,0
ASB-A4,Sony XBR No Audio,3,True,2
ASB-B252,SonyXBR,1,False,0
ASB-B340,SonyXBR,2,False,0
ASB-B52,Sony VPL,0,False,0
ASB-C301,Sony XBR No Audio,3,True,0
ASB-C356,SonyXBR,2,False,0
ASB-C373,SonyXBR,3,True,1
ASB-C373T,SonyXBR,2,False,0
ASB-C380,SonyXBR,1,False,0
ASB-C40D,Sony VPL,0,False,0
ASB-D148,SonyXBR,2,False,0
ASB-D252,SonyXBR,2,False,0
B66-120,Sony VPL,2,True,0
B66-130,Sony VPL,2,True,0
BNSN-C107,SonyXBR,0,False,0
BNSN-C130,Sony XBR No Audio,3,True,1
BNSN-C131,Sony XBR No Audio,3,True,1
BNSN-C148,Sony XBR No Audio,3,True,1
BNSN-C149,Sony XBR No Audio,3,True,1
BNSN-C170,Sony XBR No Audio,3,True,1
BNSN-C171,Sony XBR No Audio,3,True,1
BNSN-C189,Sony XBR No Audio,3,True,1
BNSN-C407,Sony VPL,2,True,0
BNSN-E120,SonyXBR,0,False,0
BNSN-W002,Sony PHZ10,1,False,0
BNSN-W003,Sony PHZ10,1,False,0
BNSN-W005,Sony VPL,2,True,0
BNSN-W006,Sony VPL,2,True,0
BNSN-W008,SonyXBR,1,False,0
BNSN-W009,Sony PHZ10,2,True,1
BNSN-W010,Sony PHZ10,2,True,0
BNSN-W011,Sony Projector No Audio,2,True,0
BNSN-W012,Sony VPL,2,True,0
BNSN-W111,Sony Projector No Audio,2,True,3
BNSN-W112,Sony Projector No Audio,2,True,1
BNSN-W140,Sony Projector No Audio,2,True,3
BNSN-W141,Sony VPL,2,True,0
BNSN-W142,Sony Projector No Audio,2,True,0
BRMB-220,Sony PHZ10,2,True,0
BRMB-240,Sony VPL,2,True,2
BRMB-250,Sony PHZ10,2,True,1
BRMB-260,Sony VPL,2,True,0
BRMB-264,Sony Projector No Audio,2,True,0
BRMB-270,Sony VPL,2,True,0
BRMB-370,SonyXBR,3,True,0
BRMB-380,Sony VPL,2,True,0
BRMB-382,Sony Projector No Audio,2,True,0
BRWB-102,Sony VPL,1,False,0
BRWB-111,SonyXBR,2,False,0
